Pair Compared	DIFF	LWR	UPR	P.adj	gene
Medulloblastoma, group 4-High-grade glioma/astrocytoma (WHO grade III/IV)	-25.230008865248195	-36.40541271181123	-14.054605018685157	0	SLC7A5
Medulloblastoma, group 4-High-grade glioma/astrocytoma, H3 wildtype	-23.259175531914913	-33.46805859401928	-13.050292469810543	0	SLC7A5
Medulloblastoma, SHH-activated-High-grade glioma/astrocytoma (WHO grade III/IV)	-26.194365942028988	-39.19211032579945	-13.196621558258528	2.043906155435593e-10	SLC7A5
Medulloblastoma, SHH-activated-High-grade glioma/astrocytoma, H3 wildtype	-24.223532608695706	-36.400272784448084	-12.046792432943327	3.9496150794349205e-10	SLC7A5
Medulloblastoma-High-grade glioma/astrocytoma (WHO grade III/IV)	-24.48124999999999	-38.37026265059932	-10.592237349400653	7.638799526255013e-8	SLC7A5
Medulloblastoma-High-grade glioma/astrocytoma, H3 wildtype	-22.510416666666707	-35.634300034422374	-9.386533298911038	2.145220380223023e-7	SLC7A5
Medulloblastoma, group 3-High-grade glioma/astrocytoma (WHO grade III/IV)	-27.665037878787885	-43.88391040469431	-11.446165352881458	2.630906652534293e-7	SLC7A5
Low-grade glioma/astrocytoma, wildtype-High-grade glioma/astrocytoma (WHO grade III/IV)	-18.547542517006782	-29.645584691607784	-7.449500342405781	5.479347819914437e-7	SLC7A5
Medulloblastoma, group 3-High-grade glioma/astrocytoma, H3 wildtype	-25.694204545454603	-41.26287398935853	-10.125535101550673	8.490625450496836e-7	SLC7A5
Low-grade glioma/astrocytoma, wildtype-High-grade glioma/astrocytoma, H3 wildtype	-16.5767091836735	-26.700847781656446	-6.452570585690555	1.1136846927994881e-6	SLC7A5
Medulloblastoma, group 4-High-grade glioma/astrocytoma, H3 G35-mutant	-43.03042553191429	-69.55595414793439	-16.504896915894193	1.5221651269436975e-6	SLC7A5
Medulloblastoma, SHH-activated-High-grade glioma/astrocytoma, H3 G35-mutant	-43.99478260869508	-71.33807019982724	-16.651495017562926	1.997611766557661e-6	SLC7A5
Medulloblastoma, group 3-High-grade glioma/astrocytoma, H3 G35-mutant	-45.46545454545398	-74.47865573451837	-16.452253356389587	4.663172972096952e-6	SLC7A5
Medulloblastoma-High-grade glioma/astrocytoma, H3 G35-mutant	-42.281666666666084	-70.05969196786475	-14.503641365467413	1.1326715333770387e-5	SLC7A5
Low-grade glioma/astrocytoma, KIAA1549-BRAF-High-grade glioma/astrocytoma (WHO grade III/IV)	-15.314775641025633	-25.401991070299257	-5.22756021175201	1.2218381792661326e-5	SLC7A5
Low-grade glioma/astrocytoma, KIAA1549-BRAF-High-grade glioma/astrocytoma, H3 wildtype	-13.343942307692352	-22.348583186623692	-4.339301428761011	2.4594473238992443e-5	SLC7A5
Low-grade glioma/astrocytoma, BRAF V600E-High-grade glioma/astrocytoma (WHO grade III/IV)	-17.331145833333316	-29.359383622235782	-5.3029080444308505	5.3194017216928735e-5	SLC7A5
Medulloblastoma, WNT-activated-High-grade glioma/astrocytoma, H3 G35-mutant	-41.98888888888829	-71.6848470483807	-12.292930729395877	8.728290273007921e-5	SLC7A5
Medulloblastoma, WNT-activated-High-grade glioma/astrocytoma (WHO grade III/IV)	-24.188472222222195	-41.59927099151474	-6.777673452929648	1.363951580590772e-4	SLC7A5
